date Thu Jul 23 09:38:20.686 am 2015
base hex  timestamps absolute
no internal events logged
// version 8.5.0
   1.301956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.301956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.321032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.321032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.341032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.341032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.361032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.361032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.381032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.381032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.400000    SV: 2 0 1 ::WiperSystem::Active = 384
   1.400000    SV: 2 0 1 ::WiperSystem::Position = 9
   1.401956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.401956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.421032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.421032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.441032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.441032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.461032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.461032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.481032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.481032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.500000    SV: 2 0 1 ::WiperSystem::Active = 2ee
   1.500000    SV: 2 0 1 ::WiperSystem::Position = 7
   1.501956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.501956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.502760    SV: 2 1 1 ::ComfortBus::DashboardTurnIndRightDisplay = None
   1.502760    SV: 2 1 1 ::ComfortBus::DashboardTurnIndLeftDisplay = None
   1.502760    SV: 2 1 1 ::ComfortBus::DashboardWarnIndDisplay = None
   1.521032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   1.521032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   1.541032    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
